"Ac_20_62_03","Alcoholic Beverages Wholesale Selling","Ac_20_62"
"Ac_20_62_10","Builders’ Merchant Wholesale Selling","Ac_20_62"
"Ac_20_62_14","Clothing Wholesale Selling","Ac_20_62"
"Ac_20_62_21","Dairy Wholesale Selling","Ac_20_62"
"Ac_20_62_29","Factory Machinery Wholesale Selling","Ac_20_62"
"Ac_20_62_30","Fish Market Wholesale Selling","Ac_20_62"
"Ac_20_62_31","Flower Market Wholesale Selling","Ac_20_62"
"Ac_20_62_32","Fruit And Vegetable Wholesale Selling","Ac_20_62"
"Ac_20_62_34","Grains Wholesale Selling","Ac_20_62"
"Ac_20_62_36","Hardware, Plumbing And Heating Wholesale Selling","Ac_20_62"
"Ac_20_62_37","Heavy Machinery Wholesale Selling","Ac_20_62"
"Ac_20_62_38","Household Goods Wholesale Selling","Ac_20_62"
"Ac_20_62_47","Livestock Wholesale Selling","Ac_20_62"
"Ac_20_62_48","Livestock Storage","Ac_20_62"
"Ac_20_62_52","Meat Wholesale Selling","Ac_20_62"
"Ac_20_62_58","Office Equipment Wholesale Selling","Ac_20_62"
"Ac_20_62_65","Plumbers’ Merchant Wholesale Selling","Ac_20_62"
"Ac_20_62_78","Skins And Hides Wholesale Selling","Ac_20_62"
"Ac_20_62_82","Spice Wholesale Selling","Ac_20_62"
"Ac_20_62_89","Toys And Games Wholesale Selling","Ac_20_62"
"Ac_20_62_96","Waste And Scrap Wholesale Selling","Ac_20_62"
"Ac_20_64","Commercial Retail Activities","Ac_20"
"Ac_20_64_02","Antiques Retail Selling","Ac_20_64"
"Ac_20_64_04","Art Auctioning","Ac_20_64"
"Ac_20_64_06","Beauty Treating","Ac_20_64"
"Ac_20_64_07","Bicycle Parts And Accessories Retail Selling","Ac_20_64"
"Ac_20_64_08","Booking","Ac_20_64"
"Ac_20_64_12","Checking Out","Ac_20_64"
"Ac_20_64_14","Coal Retail Selling","Ac_20_64"
"Ac_20_64_16","Collecting","Ac_20_64"
"Ac_20_64_18","Commercial Art Retail Selling","Ac_20_64"
"Ac_20_64_20","Commercial Cash Taking","Ac_20_64"
"Ac_20_64_22","Department Store Retail Selling","Ac_20_64"
"Ac_20_64_27","Equipment Servicing","Ac_20_64"
"Ac_20_64_29","Factory Retail Selling","Ac_20_64"
"Ac_20_64_30","Fitting","Ac_20_64"
"Ac_20_64_31","Florist Retail Selling","Ac_20_64"
"Ac_20_64_32","Food And Drink Retail Selling","Ac_20_64"
"Ac_20_64_33","Food Retail Selling","Ac_20_64"
"Ac_20_64_34","Furniture Auctioning","Ac_20_64"
"Ac_20_64_36","Haircutting","Ac_20_64"
"Ac_20_64_42","Indoor Market Retail Selling","Ac_20_64"
"Ac_20_64_45","Key Cutting","Ac_20_64"
"Ac_20_64_50","Mail Order Sorting","Ac_20_64"
"Ac_20_64_56","Newsagent Retail Selling","Ac_20_64"
"Ac_20_64_59","Outdoor Market Retail Selling","Ac_20_64"
"Ac_20_64_77","Shoe Repairing","Ac_20_64"
"Ac_20_64_78","Shopping Arcades Circulating (shopper Moving)","Ac_20_64"
"Ac_20_64_79","Show Activities","Ac_20_64"
"Ac_20_64_85","Supermarket Retail Selling","Ac_20_64"
"Ac_20_64_88","Temporary Food And Drink Retail Selling","Ac_20_64"
"Ac_20_64_93","Utilities Servicing","Ac_20_64"
"Ac_20_65","Postal Communications Activities ","Ac_20"
"Ac_20_65_48","Overhead Security Observing","Ac_20_65"
"Ac_20_65_50","Mail Sorting","Ac_20_65"
"Ac_20_65_60","Parcelling","Ac_20_65"
"Ac_20_65_62","Post Office Box Activities","Ac_20_65"
"Ac_20_65_64","Post Office Counter Activities","Ac_20_65"
"Ac_20_65_66","Post Office Queuing","Ac_20_65"
"Ac_20_65_68","Postal Sorting","Ac_20_65"
"Ac_20_70","Military Activities","Ac_20"
"Ac_20_70_02","Air Raid Sheltering","Ac_20_70"
"Ac_20_70_04","Arms Storing","Ac_20_70"
"Ac_20_70_09","Bomb Sheltering","Ac_20_70"
"Ac_20_70_27","Emergency Sheltering","Ac_20_70"
"Ac_20_70_29","Fallout Sheltering","Ac_20_70"
"Ac_20_70_31","Firing Of Weapons","Ac_20_70"
"Ac_20_70_52","Military Camping","Ac_20_70"
"Ac_20_70_54","Military Parading","Ac_20_70"
"Ac_20_70_88","Testing Of Weapons","Ac_20_70"
"Ac_20_70_90","Training","Ac_20_70"
"Ac_20_80","Law Enforcement And Judicial Activities","Ac_20"
"Ac_20_80_15","Court Activities","Ac_20_80"
"Ac_20_80_28","Evidence Storing","Ac_20_80"
"Ac_20_80_37","Holding Of Prisoners","Ac_20_80"
"Ac_20_80_41","Judges’ Seating","Ac_20_80"
"Ac_20_80_42","Judges’ Activities","Ac_20_80"
"Ac_20_80_44","Jury Seating","Ac_20_80"
"Ac_20_80_45","Jury Deliberating","Ac_20_80"
"Ac_20_80_68","Public Gallery Viewing","Ac_20_80"
"Ac_20_80_77","Secure Interviewing","Ac_20_80"
"Ac_20_80_97","Witness Standing","Ac_20_80"
"Ac_20_85","Detention Activities","Ac_20"
"Ac_20_85_15","Communal Inmate Day Activities","Ac_20_85"
"Ac_20_85_22","Detaining","Ac_20_85"
"Ac_20_85_28","Exercising","Ac_20_85"
"Ac_20_85_35","Guarding Detainees","Ac_20_85"
"Ac_20_85_38","Holding","Ac_20_85"
"Ac_20_85_59","Open Secure Visiting","Ac_20_85"
"Ac_20_85_66","Private Secure Visiting","Ac_20_85"
"Ac_20_85_95","Vehicle Impounding","Ac_20_85"
"Ac_20_87","Security Activities","Ac_20"
"Ac_20_87_06","Bag Searching","Ac_20_87"
"Ac_20_87_32","Frisking","Ac_20_87"
"Ac_20_87_63","Pedestrian Security Checking","Ac_20_87"
"Ac_20_87_76","Security Screening","Ac_20_87"
"Ac_20_87_86","Strip Searching","Ac_20_87"
"Ac_20_87_95","Vehicular Security Checking","Ac_20_87"
"Ac_20_90","Fire And Rescue Activities","Ac_20"
"Ac_20_90_27","Emergency Communicating","Ac_20_90"
"Ac_20_90_28","Emergency Vehicle Standing","Ac_20_90"
"Ac_20_90_30","Fire Refuge","Ac_20_90"
"Ac_20_90_31","Fire Training","Ac_20_90"
"Ac_20_90_71","Rescue Gear Storing","Ac_20_90"
"Ac_20_95","Reception Activities","Ac_20"
"Ac_20_95_72","Reception","Ac_20_95"
"Ac_20_95_73","Registering","Ac_20_95"
"Ac_20_95_96","Waiting","Ac_20_95"
"Ac_25","Cultural, Educational, Scientific And Information Activities","Ac"
"Ac_25_05","Cultural Activities","Ac_25"
"Ac_25_05_20","Cultural Parading","Ac_25_05"
"Ac_25_05_66","Processing And Marching","Ac_25_05"
"Ac_25_05_72","Remembering","Ac_25_05"
"Ac_25_10","Educational Activities","Ac_25"
"Ac_25_10_01","Adult Education Teaching","Ac_25_10"
"Ac_25_10_04","Art Teaching","Ac_25_10"
"Ac_25_10_05","Assembling","Ac_25_10"
"Ac_25_10_08","Breaking Out","Ac_25_10"
"Ac_25_10_15","Computer Teaching","Ac_25_10"
"Ac_25_10_17","Craft Teaching","Ac_25_10"
"Ac_25_10_21","Dance Teaching","Ac_25_10"
"Ac_25_10_23","Dissection Teaching","Ac_25_10"
"Ac_25_10_25","Drama Teaching","Ac_25_10"
"Ac_25_10_37","Home Economics Teaching","Ac_25_10"
"Ac_25_10_42","Infant Teaching","Ac_25_10"
"Ac_25_10_46","Language Teaching","Ac_25_10"
"Ac_25_10_47","Lecturing","Ac_25_10"
"Ac_25_10_51","Metalwork Teaching","Ac_25_10"
"Ac_25_10_55","Music Teaching","Ac_25_10"
"Ac_25_10_62","Plastics Work Teaching","Ac_25_10"
"Ac_25_10_64","Pre-Tertiary Teaching","Ac_25_10"
"Ac_25_10_66","Primary Teaching","Ac_25_10"
"Ac_25_10_71","Religious Education Teaching","Ac_25_10"
"Ac_25_10_77","Secondary Teaching","Ac_25_10"
"Ac_25_10_78","Seminar Activities","Ac_25_10"
"Ac_25_10_80","Staff Common Activities","Ac_25_10"
"Ac_25_10_82","Student Common Activities","Ac_25_10"
"Ac_25_10_84","Studying","Ac_25_10"
"Ac_25_10_90","Tertiary Teaching","Ac_25_10"
"Ac_25_10_97","Woodwork Teaching","Ac_25_10"
"Ac_25_30","Scientific Laboratory Activities","Ac_25"
"Ac_25_30_02","Analytical Chemistry Researching","Ac_25_30"
"Ac_25_30_03","Animal Researching","Ac_25_30"
"Ac_25_30_04","Astronomical Researching","Ac_25_30"
"Ac_25_30_05","Astronomical Observing","Ac_25_30"
"Ac_25_30_07","Biological Researching","Ac_25_30"
"Ac_25_30_08","Biology Research Teaching","Ac_25_30"
"Ac_25_30_10","Bioscience Researching","Ac_25_30"
"Ac_25_30_13","Chemistry Research Teaching","Ac_25_30"
"Ac_25_30_15","Clinical Biochemistry Researching","Ac_25_30"
"Ac_25_30_16","Clinical Microbiology Researching","Ac_25_30"
"Ac_25_30_17","Clinical Pathology Researching","Ac_25_30"
"Ac_25_30_19","Containment Researching","Ac_25_30"
"Ac_25_30_23","Dry Research Activities","Ac_25_30"
"Ac_25_30_26","Earth Sciences Researching","Ac_25_30"
"Ac_25_30_31","Forensics Researching","Ac_25_30"
"Ac_25_30_33","Geology Researching","Ac_25_30"
"Ac_25_30_42","Inorganic Chemistry Researching","Ac_25_30"
"Ac_25_30_58","Optical Physics Researching","Ac_25_30"
"Ac_25_30_59","Organic Chemistry Researching","Ac_25_30"
"Ac_25_30_63","Physical Chemistry Researching","Ac_25_30"
"Ac_25_30_65","Physical Sciences Researching","Ac_25_30"
"Ac_25_30_66","Physics Research Teaching","Ac_25_30"
"Ac_25_30_68","Psychology Researching","Ac_25_30"
"Ac_25_30_80","Solar Observing","Ac_25_30"
"Ac_25_30_90","Toxicology Researching","Ac_25_30"
"Ac_25_30_96","Wet Research Activities","Ac_25_30"
"Ac_25_35","Scientific Ancillary Activities","Ac_25"
"Ac_25_35_02","Anechoic Activities","Ac_25_35"
"Ac_25_35_03","Animal Holding","Ac_25_35"
"Ac_25_35_05","Autoclaving","Ac_25_35"
"Ac_25_35_06","Bioscience Equipment Storing","Ac_25_35"
"Ac_25_35_08","Blood Storing","Ac_25_35"
"Ac_25_35_14","Chemicals Storing","Ac_25_35"
"Ac_25_35_16","Clean Activities","Ac_25_35"
"Ac_25_35_18","Computer Activities","Ac_25_35"
"Ac_25_35_19","Containment","Ac_25_35"
"Ac_25_35_21","Dark Room Activities","Ac_25_35"
"Ac_25_35_28","Experiment Controlling","Ac_25_35"
"Ac_25_35_29","Flammable Chemical Storing","Ac_25_35"
"Ac_25_35_30","Flow Cytometry","Ac_25_35"
"Ac_25_35_36","Hyperbaric Activities","Ac_25_35"
"Ac_25_35_42","Instrument Activities","Ac_25_35"
"Ac_25_35_46","Laboratory Cold Storing","Ac_25_35"
"Ac_25_35_47","Laboratory Warm Storing","Ac_25_35"
"Ac_25_35_70","Radiation Shielded Activities","Ac_25_35"
"Ac_25_35_76","Seismograph Activities","Ac_25_35"
"Ac_25_35_88","Tissue Culturing","Ac_25_35"
"Ac_25_50","Exhibition Activities","Ac_25"
"Ac_25_50_04","Art Exhibiting","Ac_25_50"
"Ac_25_50_15","Collection Exhibiting","Ac_25_50"
"Ac_25_50_16","Conservation","Ac_25_50"
"Ac_25_50_21","Dioramas","Ac_25_50"
"Ac_25_50_22","Displaying","Ac_25_50"
"Ac_25_50_29","Fauna Exhibiting","Ac_25_50"
"Ac_25_50_31","Flora Exhibiting","Ac_25_50"
"Ac_25_50_55","Multipurpose Exhibiting","Ac_25_50"
"Ac_25_50_63","Planetaria Observing","Ac_25_50"
"Ac_25_50_66","Product Displaying","Ac_25_50"
"Ac_25_50_73","Sculpture Exhibiting","Ac_25_50"
"Ac_25_50_87","Temporary Exhibiting","Ac_25_50"
"Ac_25_50_90","Touching Living Creatures","Ac_25_50"
"Ac_25_50_93","Underwater Viewing","Ac_25_50"
"Ac_25_50_94","Viewing","Ac_25_50"
"Ac_25_70","Information Activities","Ac_25"
"Ac_25_70_04","Archiving","Ac_25_70"
"Ac_25_70_05","Audio-Visual Studying","Ac_25_70"
"Ac_25_70_08","Borrowing And Returning","Ac_25_70"
"Ac_25_70_11","Cataloguing","Ac_25_70"
"Ac_25_70_15","Conferencing","Ac_25_70"
"Ac_25_70_18","Conserving","Ac_25_70"
"Ac_25_70_23","Drawings Studying","Ac_25_70"
"Ac_25_70_27","Enquiring","Ac_25_70"
"Ac_25_70_30","Film Storing","Ac_25_70"
"Ac_25_70_46","Lending","Ac_25_70"
"Ac_25_70_47","Library Storing","Ac_25_70"
"Ac_25_70_50","Map Reading","Ac_25_70"
"Ac_25_70_56","Newspaper Reading","Ac_25_70"
"Ac_25_70_62","Photocopying","Ac_25_70"
"Ac_25_70_63","Photograph Studying","Ac_25_70"
"Ac_25_70_71","Reading","Ac_25_70"
"Ac_25_70_72","Referencing","Ac_25_70"
"Ac_25_70_82","Studying","Ac_25_70"
"Ac_25_90","Worship Activities","Ac_25"
"Ac_25_90_06","Baptising","Ac_25_90"
"Ac_25_90_09","Blessing","Ac_25_90"
"Ac_25_90_11","Celebrating","Ac_25_90"
"Ac_25_90_12","Ceremonial Activities","Ac_25_90"
"Ac_25_90_17","Choral Singing","Ac_25_90"
"Ac_25_90_18","Congregational Singing","Ac_25_90"
"Ac_25_90_52","Meditating","Ac_25_90"
"Ac_25_90_53","Mens’ Praying","Ac_25_90"
"Ac_25_90_59","Orienting To Mecca","Ac_25_90"
"Ac_25_90_66","Processing","Ac_25_90"
"Ac_25_90_68","Preaching","Ac_25_90"
"Ac_25_90_71","Reading The Torah","Ac_25_90"
"Ac_25_90_72","Reflecting","Ac_25_90"
"Ac_25_90_75","Sacramental Activities","Ac_25_90"
"Ac_25_90_97","Womens’ Praying","Ac_25_90"
"Ac_25_90_98","Worshipping","Ac_25_90"
"Ac_25_95","Worship Ancillary Activities","Ac_25"
"Ac_25_95_07","Bell Hanging","Ac_25_95"
"Ac_25_95_08","Bell Ringing","Ac_25_95"
"Ac_25_95_10","Burial (under A Church)","Ac_25_95"
"Ac_25_95_12","Chapter Meeting","Ac_25_95"
"Ac_25_95_13","Circumcising","Ac_25_95"
"Ac_25_95_14","Walking Under Cover","Ac_25_95"
"Ac_25_95_15","Confessing","Ac_25_95"
"Ac_25_95_33","Gallery Viewing","Ac_25_95"
"Ac_25_95_50","Marrying","Ac_25_95"
"Ac_25_95_75","Sanctuary Providing","Ac_25_95"
"Ac_25_95_90","Treasure Storing","Ac_25_95"
"Ac_25_95_94","Vestment Donning And Removing","Ac_25_95"
"Ac_30","Industrial Activities","Ac"
"Ac_30_10","Mineral Extraction Activities","Ac_30"
"Ac_30_10_28","Explosives Storing","Ac_30_10"
"Ac_30_10_52","Mineral Storing","Ac_30_10"
"Ac_30_10_57","Offshore Oil And Gas Drilling ","Ac_30_10"
"Ac_30_10_58","Oil And Gas Storing","Ac_30_10"
"Ac_30_10_59","Onshore Oil And Gas Drilling","Ac_30_10"
"Ac_30_10_60","Opencast Mining","Ac_30_10"
"Ac_30_10_69","Quarrying","Ac_30_10"
"Ac_30_10_85","Surface Mining","Ac_30_10"
"Ac_30_10_91","Underground Mining","Ac_30_10"
"Ac_30_10_92","Underground Mine Hoist Controlling","Ac_30_10"
"Ac_30_10_93","Underground Mine Access","Ac_30_10"
"Ac_30_10_94","Underground Mine Tunnelling","Ac_30_10"
"Ac_30_20","Agricultural Activities","Ac_30"
"Ac_30_20_03","Animal Exercising","Ac_30_20"
"Ac_30_20_04","Animal Housing","Ac_30_20"
"Ac_30_20_11","Caging","Ac_30_20"
"Ac_30_20_12","Cattle Housing","Ac_30_20"
"Ac_30_20_18","Crofting","Ac_30_20"
"Ac_30_20_24","Dungsteading","Ac_30_20"
"Ac_30_20_25","Farm Effluent Tanking","Ac_30_20"
"Ac_30_20_26","Farm Goods Selling","Ac_30_20"
"Ac_30_20_27","Feed Storing","Ac_30_20"
"Ac_30_20_28","Field Grazing","Ac_30_20"
"Ac_30_20_29","Fish Cultivating","Ac_30_20"
"Ac_30_20_30","Fishing","Ac_30_20"
"Ac_30_20_31","Foresting","Ac_30_20"
"Ac_30_20_34","Glasshouse Growing","Ac_30_20"
"Ac_30_20_36","Grain Storing","Ac_30_20"
"Ac_30_20_39","Hothouse Growing","Ac_30_20"
"Ac_30_20_47","Livestock Activities","Ac_30_20"
"Ac_30_20_52","Milking","Ac_30_20"
"Ac_30_20_55","Mushroom Cultivating","Ac_30_20"
"Ac_30_20_62","Penning","Ac_30_20"
"Ac_30_20_63","Pig Housing","Ac_30_20"
"Ac_30_20_64","Plant Breeding","Ac_30_20"
"Ac_30_20_66","Poultry Housing","Ac_30_20"
"Ac_30_20_77","Shearing","Ac_30_20"
"Ac_30_20_78","Sheep Dipping","Ac_30_20"
"Ac_30_20_80","Slurry Tanking","Ac_30_20"
"Ac_30_20_83","Stabling","Ac_30_20"
"Ac_30_20_99","Yard Activities","Ac_30_20"
"Ac_30_30","Mineral Processing Activities","Ac_30"
"Ac_30_30_58","Ore Processing","Ac_30_30"
"Ac_30_30_59","Oil And Gas Processing","Ac_30_30"
"Ac_30_40","Agricultural Processing Activities","Ac_30"
"Ac_30_40_06","Baking","Ac_30_40"
"Ac_30_40_07","Bottling","Ac_30_40"
"Ac_30_40_09","Brewing","Ac_30_40"
"Ac_30_40_10","Butter-Making","Ac_30_40"
"Ac_30_40_11","Canning","Ac_30_40"
"Ac_30_40_12","Carcase Cold Storing","Ac_30_40"
"Ac_30_40_13","Carcase Processing","Ac_30_40"
"Ac_30_40_18","Cheese Maturing","Ac_30_40"
"Ac_30_40_22","Distilling","Ac_30_40"
"Ac_30_40_29","Factory Selling","Ac_30_40"
"Ac_30_40_30","Fish Processing","Ac_30_40"
"Ac_30_40_31","Fish Smoking","Ac_30_40"
"Ac_30_40_32","Fresh Fruit Packing","Ac_30_40"
"Ac_30_40_33","Fresh Vegetable Packing","Ac_30_40"
"Ac_30_40_44","Juicing","Ac_30_40"
"Ac_30_40_46","Leather Tanning","Ac_30_40"
"Ac_30_40_52","Meat Smoking","Ac_30_40"
"Ac_30_40_53","Micro-Brewing","Ac_30_40"
"Ac_30_40_54","Milk Processing","Ac_30_40"
"Ac_30_40_65","Poultry Processing","Ac_30_40"
"Ac_30_40_75","Sawing","Ac_30_40"
"Ac_30_40_80","Slaughtering","Ac_30_40"
"Ac_30_40_88","Threshing","Ac_30_40"
"Ac_30_40_90","Tobacco Drying","Ac_30_40"
"Ac_30_40_96","Wine Making","Ac_30_40"
"Ac_30_40_98","Wool Sorting","Ac_30_40"
"Ac_30_50","Manufacturing Activities","Ac_30"
"Ac_30_50_06","Batching","Ac_30_50"
"Ac_30_50_08","Brick Firing","Ac_30_50"
"Ac_30_50_11","Ceramic Firing","Ac_30_50"
"Ac_30_50_27","Electronics Clean Activities","Ac_30_50"
"Ac_30_50_29","Factory Selling","Ac_30_50"
"Ac_30_50_30","Finished Vehicle Storing","Ac_30_50"
"Ac_30_50_53","Mixing","Ac_30_50"
"Ac_30_50_60","Packaging ","Ac_30_50"
"Ac_30_50_62","Pharmaceuticals Clean Activities","Ac_30_50"
"Ac_30_50_64","Printing","Ac_30_50"
"Ac_30_50_66","Production Servicing And Repairing","Ac_30_50"
"Ac_30_50_69","Quality Controlling","Ac_30_50"
"Ac_30_50_70","Raw Materials Storing","Ac_30_50"
"Ac_30_50_77","Sheltered Manufacturing","Ac_30_50"
"Ac_30_50_80","Spraying","Ac_30_50"
"Ac_30_50_90","Vehicle Finishing","Ac_30_50"
"Ac_30_50_91","Waste Gas Storing","Ac_30_50"
"Ac_30_50_92","Waste Gas Treating","Ac_30_50"
"Ac_30_50_93","Waste Liquids Storing","Ac_30_50"
"Ac_30_50_94","Waste Liquids Treating","Ac_30_50"
"Ac_30_50_95","Waste Solids Storing","Ac_30_50"
"Ac_30_50_96","Waste Solids Treating","Ac_30_50"
"Ac_30_50_97","Waste Water Treating","Ac_30_50"
"Ac_30_50_98","Work Benching","Ac_30_50"
"Ac_30_60","Cleaning And Maintenance Activities","Ac_30"
"Ac_30_60_15","Commercial Laundering","Ac_30_60"
"Ac_30_60_23","Domestic Laundering","Ac_30_60"
"Ac_30_60_25","Drying And Airing","Ac_30_60"
"Ac_30_60_46","Laundering","Ac_30_60"
"Ac_30_90","Warehousing And Distribution Activities","Ac_30"
"Ac_30_90_10","Builders’ Storing","Ac_30_90"
"Ac_30_90_29","Factory Seconds Selling","Ac_30_90"
"Ac_30_90_48","Loading","Ac_30_90"
"Ac_30_90_50","Maintenance Storing","Ac_30_90"
"Ac_30_90_65","Road Salt Storing","Ac_30_90"
"Ac_30_90_80","Sorting And Distributing","Ac_30_90"
"Ac_30_90_96","Warehousing","Ac_30_90"
"Ac_30_95","Storing Activities","Ac_30"
"Ac_30_95_04","Attic Storing","Ac_30_95"
"Ac_30_95_12","Cellar Storing","Ac_30_95"
"Ac_30_95_14","Cloak Storing","Ac_30_95"
"Ac_30_95_15","Cold Storing","Ac_30_95"
"Ac_30_95_33","Goods Delivery","Ac_30_95"
"Ac_30_95_34","Goods Storing","Ac_30_95"
"Ac_30_95_35","Goods Warehousing","Ac_30_95"
"Ac_30_95_36","Hazardous Waste Storing ","Ac_30_95"
"Ac_30_95_47","Left Luggage Storing","Ac_30_95"
"Ac_30_95_59","Outdoor Storing","Ac_30_95"
"Ac_30_95_77","Secure Storing","Ac_30_95"
"Ac_30_95_80","Small Shed Activities","Ac_30_95"
"Ac_30_95_85","Stock Activities","Ac_30_95"
"Ac_30_95_86","Storing","Ac_30_95"
"Ac_30_95_94","Vault Storing","Ac_30_95"
"Ac_30_95_96","Waste Storing","Ac_30_95"
"Ac_35","Medical, Health, Welfare And Sanitary Activities","Ac"
"Ac_35_10","Medical Activities","Ac_35"
"Ac_35_10_01","Accident And Emergency Waiting","Ac_35_10"
"Ac_35_10_08","Birthing","Ac_35_10"
"Ac_35_10_10","Burns Treating","Ac_35_10"
"Ac_35_10_12","Children’s Caring","Ac_35_10"
"Ac_35_10_15","Consulting","Ac_35_10"
"Ac_35_10_18","Ct And Other Scanning","Ac_35_10"
"Ac_35_10_22","Dental Surgery","Ac_35_10"
"Ac_35_10_23","Dissecting","Ac_35_10"
"Ac_35_10_24","Doctors’ Consulting","Ac_35_10"
"Ac_35_10_30","Field Surgery","Ac_35_10"
"Ac_35_10_36","Hearing Testing","Ac_35_10"
"Ac_35_10_37","Hospital Laundering","Ac_35_10"
"Ac_35_10_38","Hospital Records Storing","Ac_35_10"
"Ac_35_10_42","Intensive Caring","Ac_35_10"
"Ac_35_10_43","Isolation Caring","Ac_35_10"
"Ac_35_10_50","Maternity Caring","Ac_35_10"
"Ac_35_10_57","Nursing","Ac_35_10"
"Ac_35_10_58","Occupational Therapy","Ac_35_10"
"Ac_35_10_59","Operating","Ac_35_10"
"Ac_35_10_64","Pharmaceutical Dispensing","Ac_35_10"
"Ac_35_10_65","Pharmacy Storing","Ac_35_10"
"Ac_35_10_66","Physiotherapy","Ac_35_10"
"Ac_35_10_68","Prosthetics Rehabilitating","Ac_35_10"
"Ac_35_10_70","Radiography","Ac_35_10"
"Ac_35_10_71","Radiotherapy","Ac_35_10"
"Ac_35_10_73","Recovering","Ac_35_10"
"Ac_35_10_74","Rehabilitating","Ac_35_10"
"Ac_35_10_76","Screening Research","Ac_35_10"
"Ac_35_30","Health Activities","Ac_35"
"Ac_35_30_08","Blood Donating","Ac_35_30"
"Ac_35_30_22","Dental Surgery","Ac_35_30"
"Ac_35_30_23","Doctors’ Consulting","Ac_35_30"
"Ac_35_30_30","First Aiding","Ac_35_30"
"Ac_35_30_37","Health Waiting","Ac_35_30"
"Ac_35_30_52","Minor Operating","Ac_35_30"
"Ac_35_30_57","Nursing","Ac_35_30"
"Ac_35_30_63","Pharmaceutical Dispensing","Ac_35_30"
"Ac_35_30_64","Physiotherapy","Ac_35_30"
"Ac_35_30_67","Prosthetics Rehabilitating","Ac_35_30"
"Ac_35_30_72","Records Storing","Ac_35_30"
"Ac_35_30_76","Screening Researching","Ac_35_30"
"Ac_35_30_78","Sick Caring","Ac_35_30"
"Ac_35_30_87","Tattooing","Ac_35_30"
"Ac_35_50","Welfare Activities","Ac_35"
"Ac_35_50_15","Convalescing","Ac_35_50"
"Ac_35_50_28","Exercising","Ac_35_50"
"Ac_35_50_36","Homeless Eating","Ac_35_50"
